,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
0,Shkodran,Mustafi,DEF,2,0,43,234,257,352,1205,17,45.5,277.2,155.0,2,242,47.9,4,0,2,5.1,8.431372549019608
1,Héctor,Bellerín,DEF,0,1,44,275,322,301,1156,18,76.9,187.8,103.0,4,204,37.0,4,0,2,5.2,8.461538461538462
2,Sead,Kolasinac,DEF,2,0,55,305,264,215,1694,26,182.5,269.6,81.0,1,331,53.0,4,0,4,5.2,10.576923076923077
3,Ainsley,Maitland-Niles,DEF,2,0,41,337,241,216,1382,22,182.0,301.8,58.0,3,244,53.6,3,1,4,4.5,9.11111111111111
4,Sokratis,Papastathopoulos,DEF,0,2,57,266,166,365,1696,25,36.8,436.2,110.0,5,305,58.5,4,0,6,4.8,11.875
5,Nacho,Monreal,DEF,0,0,10,412,424,358,270,4,40.8,47.2,12.0,1,54,10.0,1,0,0,5.0,2.0
6,Laurent,Koscielny,DEF,0,0,0,639,647,643,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.0,0.0
7,Konstantinos,Mavropanos,DEF,0,0,0,552,585,572,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
8,Carl,Jenkinson,DEF,0,0,0,575,599,590,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
9,Rob,Holding,DEF,0,0,16,396,355,441,580,9,4.8,133.6,19.0,2,96,15.8,1,0,1,4.4,3.6363636363636362
10,Pierre-Emerick,Aubameyang,FWD,5,22,205,9,9,61,3136,44,479.6,1006.0,1369.0,37,807,285.2,10,1,3,10.9,18.807339449541285
11,Alexandre,Lacazette,FWD,7,10,118,35,112,124,1867,25,337.7,536.4,861.0,16,387,173.8,5,0,8,9.2,12.82608695652174
12,Edward,Nketiah,FWD,0,2,25,191,389,319,628,9,67.0,90.4,210.0,1,66,36.4,3,1,0,4.3,5.813953488372094
13,Bernd,Leno,GK,0,0,114,629,25,635,2649,39,0.0,843.2,0.0,10,591,84.1,7,0,2,4.8,23.75
14,Mesut,Özil,MID,3,1,53,205,300,39,1439,20,582.9,223.6,190.0,1,256,99.8,5,0,1,6.9,7.6811594202898545
15,Henrikh,Mkhitaryan,MID,0,0,4,355,480,371,110,0,33.9,5.4,46.0,0,3,8.6,1,0,1,6.7,0.5970149253731343
16,Granit,Xhaka,MID,2,1,73,267,140,140,2586,31,298.5,486.2,110.0,2,408,89.9,10,0,10,5.1,14.313725490196079
17,Lucas,Torreira,MID,1,1,46,195,254,194,1501,23,207.1,281.8,207.0,0,247,69.7,3,0,7,4.7,9.787234042553191
18,Mohamed,Elneny,MID,0,0,0,525,567,551,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,0.0
19,Matteo,Guendouzi,MID,2,0,48,240,222,177,1744,31,235.1,333.6,146.0,2,272,71.6,3,0,6,4.1,11.707317073170733
20,David,Luiz Moreira Marinho,DEF,1,2,94,190,53,271,2809,42,106.7,701.6,211.0,10,494,102.1,8,2,5,5.7,16.49122807017544
21,Emiliano,Martínez,GK,0,0,33,557,272,575,770,9,0.0,256.8,0.0,1,169,25.8,3,0,2,4.4,7.499999999999999
22,Calum,Chambers,DEF,1,1,42,199,261,262,1102,15,113.5,272.0,203.0,5,197,58.7,3,0,5,4.3,9.767441860465116
23,Daniel,Ceballos Fernández,MID,2,0,57,250,215,79,1687,21,439.9,346.4,130.0,3,310,91.7,7,0,1,5.2,10.961538461538462
24,Cédric,Soares,DEF,1,1,61,265,214,186,1553,20,218.9,349.0,118.0,3,286,68.7,4,0,1,4.8,12.708333333333334
25,Nicolas,Pépé,MID,6,5,106,57,135,29,2004,30,639.4,500.2,624.0,9,353,176.5,5,0,4,8.9,11.910112359550562
26,Reiss,Nelson,MID,1,1,30,210,373,241,622,7,148.3,110.4,185.0,0,105,44.4,2,0,1,5.3,5.660377358490567
27,Joseph,Willock,MID,1,1,41,188,329,224,838,16,165.9,176.8,212.0,0,150,55.2,1,0,2,4.7,8.72340425531915
28,Gabriel Teodoro,Martinelli Silva,FWD,1,3,39,177,337,366,656,9,36.6,162.8,226.0,5,129,42.5,2,0,1,4.2,9.285714285714285
29,Kieran,Tierney,DEF,2,1,42,317,312,258,986,16,121.1,201.8,73.0,4,213,39.8,2,0,2,5.3,7.9245283018867925
30,Bukayo,Saka,MID,6,1,71,164,227,129,1746,18,322.5,327.2,248.0,4,259,89.8,7,0,6,4.7,15.106382978723405
31,Emile,Smith Rowe,MID,0,0,4,546,467,435,96,0,6.3,9.8,0.0,0,13,1.6,1,0,0,4.3,0.9302325581395349
32,Tyreece,John-Jules,FWD,0,0,0,569,595,585,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,0.0
33,Pablo,Marí,DEF,0,0,8,556,445,457,113,0,1.7,27.8,0.0,1,31,3.0,1,0,0,4.4,1.8181818181818181
34,Zech,Medley,DEF,0,0,0,485,534,516,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
35,Matt,Macey,GK,0,0,0,479,528,510,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
36,Matthew,Smith,DEF,0,0,0,491,540,522,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
37,Ahmed,El Mohamady,DEF,1,1,39,324,273,127,1024,28,324.1,254.6,67.0,7,224,64.6,2,0,1,4.1,9.51219512195122
38,James,Chester,DEF,0,0,0,518,561,545,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,0.0
39,Neil,Taylor,DEF,0,0,22,374,341,297,1088,25,79.7,157.6,29.0,0,163,26.7,2,0,2,4.2,5.238095238095238
40,Kortney,Hause,DEF,0,1,34,163,209,372,1544,34,33.0,352.8,248.0,0,204,63.4,2,0,3,4.4,7.727272727272727
41,Jonathan,Kodjia,FWD,0,0,5,386,489,421,111,6,12.2,3.4,24.0,0,14,3.8,0,0,1,5.4,0.9259259259259258
42,Ørjan,Nyland,GK,0,0,15,542,383,564,537,12,0.0,101.2,0.0,0,90,10.2,1,0,0,4.3,3.488372093023256
43,Conor,Hourihane,MID,5,3,83,129,193,44,1526,29,551.8,384.8,317.0,9,328,125.3,6,0,4,5.7,14.56140350877193
44,Jack,Grealish,MID,7,8,149,37,28,4,3233,63,1209.2,826.6,837.0,19,601,287.0,7,0,8,5.9,25.25423728813559
45,Anwar,El Ghazi,MID,5,4,93,51,195,60,2046,48,482.2,383.2,655.0,0,281,152.0,5,0,3,5.2,17.884615384615383
46,John,McGinn,MID,3,3,84,76,148,54,2312,41,503.3,458.6,499.0,4,321,145.9,6,0,3,5.2,16.153846153846153
47,Andre,Green,MID,0,0,0,633,644,638,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.8,0.0
48,Birkir,Bjarnason,MID,0,0,0,570,596,586,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
49,Keinan,Davis,MID,1,0,25,187,444,310,534,7,71.7,27.8,212.0,0,43,29.9,1,0,0,4.2,5.9523809523809526
50,Henri,Lansbury,MID,0,0,12,408,462,390,190,6,27.2,13.4,13.0,0,37,5.5,0,0,0,4.4,2.727272727272727
51,José Ignacio,Peleteiro Romallo,MID,1,0,17,318,425,335,329,5,56.9,47.0,73.0,0,48,17.3,2,0,0,5.7,2.982456140350877
52,Tom,Heaton,GK,0,0,59,534,129,478,1794,35,0.3,507.4,0.0,3,346,50.7,4,0,0,4.3,13.72093023255814
53,Daniel,Drinkwater,MID,0,0,6,422,452,402,317,11,21.2,18.6,8.0,0,32,4.7,0,0,1,4.4,1.3636363636363635
54,Matt,Targett,DEF,3,1,80,248,131,83,2291,40,432.9,503.8,130.0,10,433,106.9,5,0,4,4.3,18.6046511627907
55,Wesley,Moraes,FWD,1,5,67,54,244,222,1782,31,169.8,296.2,632.0,7,180,108.3,6,0,3,5.4,12.407407407407407
56,Jed,Steer,GK,0,0,1,541,577,563,7,0,0.0,0.0,0.0,0,3,0.0,0,0,0,4.3,0.23255813953488372
57,Tyrone,Mings,DEF,2,2,90,262,35,288,2902,53,87.3,758.0,119.0,9,537,96.6,6,0,7,4.4,20.454545454545453
58,Ezri,Konsa Ngoyo,DEF,2,1,65,221,185,238,2038,39,151.8,400.6,173.0,4,335,72.8,5,0,3,4.3,15.116279069767442
59,Bjorn,Engels,DEF,0,1,42,304,226,373,1446,32,31.9,329.6,81.0,4,252,44.5,3,0,1,4.3,9.767441860465116
60,Frédéric,Guilbert,DEF,2,0,62,311,154,171,2038,36,241.5,451.2,77.0,4,342,77.2,6,0,7,4.3,14.418604651162791
61,Mahmoud Ahmed,Ibrahim Hassan,MID,2,6,98,45,176,136,1936,29,303.7,422.4,741.0,7,270,145.7,6,1,2,5.2,18.846153846153847
62,Douglas Luiz,Soares de Paulo,MID,2,3,90,101,128,144,2604,51,293.2,508.6,377.0,5,411,118.0,8,0,8,4.3,20.930232558139537
63,Lovre,Kalinic,GK,0,0,0,521,564,547,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,0.0
64,Marvelous,Nakamba,MID,0,0,43,384,247,228,1826,37,162.9,292.2,24.0,0,273,47.9,1,0,5,4.4,9.772727272727272
