,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
144,Marcos,Alonso,DEF,1,2,57,117,278,187,958,13,204.1,224.2,328.0,5,225,75.6,5,0,2,5.6,10.178571428571429
145,Jorge Luiz,Frello Filho,MID,2,7,114,206,76,94,2006,17,383.5,588.8,175.0,15,485,114.9,14,0,2,4.7,24.25531914893617
146,Mateo,Kovacic,MID,1,0,54,235,221,93,1809,26,384.8,332.4,153.0,0,332,87.0,9,0,4,5.3,10.18867924528302
147,Antonio,Rüdiger,DEF,0,1,93,186,199,301,1710,10,83.8,368.6,201.0,9,429,65.4,11,0,0,4.7,19.78723404255319
148,Kurt,Zouma,DEF,0,5,108,113,84,319,2027,25,72.6,577.8,339.0,6,481,99.0,9,0,3,5.3,20.37735849056604
149,Emerson,Palmieri dos Santos,DEF,0,0,7,446,457,433,88,0,7.7,17.4,2.0,0,24,2.7,1,0,0,4.7,1.4893617021276595
150,Kepa,Arrizabalaga,GK,0,0,26,655,362,664,585,8,0.0,113.6,0.0,5,117,11.3,2,0,1,4.7,5.531914893617021
151,N'Golo,Kanté,MID,2,0,62,290,164,110,2140,24,347.3,449.0,96.0,0,375,89.7,10,0,7,4.9,12.653061224489795
152,Hakim,Ziyech,MID,3,2,70,100,247,63,1164,7,485.6,274.8,369.0,8,239,112.8,10,0,3,7.9,8.860759493670885
153,Andreas,Christensen,DEF,0,0,61,371,235,305,1371,17,80.9,293.4,34.0,9,323,40.9,8,1,2,4.7,12.97872340425532
154,Timo,Werner,FWD,12,6,128,10,119,53,2598,29,532.4,514.8,1276.0,7,394,232.5,13,0,2,9.2,13.913043478260871
155,Tammy,Abraham,FWD,2,6,69,71,245,244,1031,12,121.6,277.2,483.0,8,224,86.6,5,0,0,7.1,9.71830985915493
156,Christian,Pulisic,MID,3,4,82,45,205,96,1731,21,378.8,361.4,724.0,3,264,146.2,7,0,2,8.3,9.879518072289155
157,Mason,Mount,MID,7,6,147,22,28,2,2887,32,1336.9,770.4,954.0,16,599,306.3,14,0,2,7.3,20.136986301369863
158,Fikayo,Tomori,DEF,0,0,0,660,443,479,45,2,0.1,26.6,0.0,0,8,2.7,0,0,0,4.7,0.0
159,Callum,Hudson-Odoi,MID,3,2,59,114,237,66,1050,5,471.5,291.8,336.0,2,239,109.9,6,0,0,5.7,10.350877192982455
160,Reece,James,DEF,3,1,112,94,111,27,2367,29,697.3,527.4,399.0,15,572,162.8,9,0,3,5.1,21.96078431372549
161,Billy,Gilmour,MID,0,0,8,419,432,342,259,2,50.9,36.0,8.0,0,38,9.5,1,0,0,4.3,1.8604651162790697
162,Benjamin,Chilwell,DEF,6,3,139,90,99,51,2286,23,535.8,545.0,408.0,11,549,148.5,12,0,3,5.9,23.559322033898304
163,Thiago,Thiago,DEF,0,2,92,173,105,298,1935,25,84.9,537.8,223.0,10,481,84.5,10,1,3,5.6,16.42857142857143
