,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
0,Petr,Cech,GK,0,0,24,441.0,304.0,471.0,585,9,0.0,205.0,0.0,3,130,20.4,1,0,0,4.7,5.106382978723404
1,Bernd,Leno,GK,0,0,106,441.0,34.0,471.0,2835,42,0.0,807.2,0.0,5,568,80.5,6,0,0,4.9,21.632653061224488
2,Laurent,Koscielny,DEF,0,3,62,287.0,158.0,382.0,1329,23,29.5,456.4,105.0,8,319,59.1,3,0,1,5.4,11.481481481481481
3,Héctor,Bellerín,DEF,5,0,60,149.0,271.0,196.0,1532,21,197.8,261.6,280.0,5,304,73.7,4,0,3,5.3,11.320754716981133
4,Nacho,Monreal,DEF,4,1,77,181.0,186.0,197.0,1860,24,196.6,413.2,224.0,7,392,83.4,5,0,5,5.4,14.259259259259258
5,Rob,Holding,DEF,0,0,24,405.0,312.0,386.0,806,10,28.7,187.8,14.0,5,148,23.2,1,0,1,4.3,5.5813953488372094
6,Shkodran,Mustafi,DEF,0,2,80,166.0,61.0,277.0,2611,40,106.0,718.6,252.0,5,475,107.8,6,0,9,5.4,14.814814814814813
7,Sead,Kolasinac,DEF,7,0,81,170.0,232.0,84.0,1886,29,445.9,323.2,242.0,10,382,101.0,5,0,5,4.9,16.53061224489796
8,Konstantinos,Mavropanos,DEF,0,0,3,412.0,440.0,417.0,147,1,14.1,27.0,10.0,0,28,5.2,0,0,1,4.7,0.6382978723404255
9,Stephan,Lichtsteiner,DEF,0,0,14,382.0,368.0,331.0,935,18,61.1,113.0,23.0,0,89,20.0,0,0,3,4.5,3.111111111111111
10,Sokratis,Papastathopoulos,DEF,2,1,64,270.0,137.0,323.0,2198,33,67.9,513.8,120.0,4,402,70.4,5,0,12,5.1,12.549019607843139
